"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"32QQRNQW","journalArticle","2018","Cameron, Andrew; Klima, Cassidy L.; Ha, Reuben; Gruninger, Robert J.; Zaheer, Rahat; McAllister, Tim A.","A Novel aadA Aminoglycoside Resistance Gene in Bovine and Porcine Pathogens","mSphere","","2379-5042","10.1128/mSphere.00568-17","https://msphere.asm.org/lookup/doi/10.1128/mSphere.00568-17","A novel variant of the AAD(3Љ) class of aminoglycoside-modifying enzymes was discovered in fatal bovine respiratory disease-associated pathogens Pasteurella multocida and Histophilus somni. The aadA31 gene encodes a spectinomycin/ streptomycin adenylyltransferase and was located in a variant of the integrative and conjugative element ICEMh1, a mobile genetic element transmissible among members of the family Pasteurellaceae. The gene was also detected in Mannheimia haemolytica from a case of porcine pneumonia and in Moraxella bovoculi from a case of keratoconjunctivitis.","2018-02-28","2020-04-23 14:23:14","2020-04-23 14:23:14","2020-04-23 14:23:14","e00568-17","","1","3","","mSphere","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Cameron et al. - 2018 - A Novel aadA Aminoglycoside Resistance Gene in Bovine and Porcine Pathogens.pdf","","","","Gales, Ana Cristina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RTEBIE3V","journalArticle","2019","Cameron, Andrew; Barbieri, Ruth; Read, Ron; Church, Deirdre; Adator, Emelia H.; Zaheer, Rahat; McAllister, Tim A.","Functional screening for triclosan resistance in a wastewater metagenome and isolates of Escherichia coli and Enterococcus spp. from a large Canadian healthcare region","PLOS ONE","","1932-6203","10.1371/journal.pone.0211144","http://dx.plos.org/10.1371/journal.pone.0211144","","2019-01-24","2020-04-23 14:23:15","2020-04-23 14:23:15","2020-04-23 14:23:15","e0211144","","1","14","","PLoS ONE","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Cameron et al. - 2019 - Functional screening for triclosan resistance in a wastewater metagenome and isolates of Escherichia coli and En.pdf","","","","Khan, Asad U.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E9PYVCX7","journalArticle","2019","Chekabab, Samuel Mohammed; Rehman, Muhammad Attiq; Yin, Xianhua; Carrillo, Catherine; Mondor, Martin; Diarra, Moussa S.","Growth of Salmonella enterica Serovars Typhimurium and Enteritidis in Iron-Poor Media and in Meat: Role of Catecholate and Hydroxamate Siderophore Transporters","Journal of Food Protection","","0362-028X, 1944-9097","10.4315/0362-028X.JFP-18-371","https://meridian.allenpress.com/jfp/article/82/4/548/421081/Growth-of-Salmonella-enterica-Serovars-Typhimurium","Enteritidis and Typhimurium are among the top Salmonella enterica serovars implicated in human salmonellosis worldwide. This study examined the individual and combined roles of catecholate-iron and hydroxamate-iron transporters in the survival in meat of Salmonella Enteritidis and Typhimurium. Catecholate–iron-III (Fe3þ) and hydroxamate-Fe3þ transporter genes fepA, iroN, and fhuACDB were deleted in isolates of these serovars to generate single, double, and triple mutants. Growth rate in high- and low-iron media was compared among mutants, complements, and their wild-type parents. Susceptibility to 14 antibiotics, the ability to produce and utilize siderophores, and survival on cooked chicken breast were evaluated. In iron-poor liquid media, differences were observed between the growth characteristics of mutant Salmonella Enteritidis and Typhimurium. The double ΔiroNΔfepA and the triple ΔfhuΔiroNΔfepA mutants of Salmonella Enteritidis exhibited prolonged lag phases (λ ¼ 9.72 and 9.53 h) and a slow growth rate (μmax ¼ 0.35 and 0.25 hÀ1) similar to that of its ΔtonB mutant (λ ¼ 10.12 h and μmax ¼ 0.30 hÀ1). In Salmonella Typhimurium, double ΔiroNΔfepA and triple ΔfhuΔiroNΔfepA mutations induced a similar growth pattern as its ΔtonB mutant. Double deletions of fepA and iroN reduced the siderophore production and the use of enterobactin as an iron source. In the ΔiroNΔfepA mutant, but not in ΔfhuΔiroNΔfepA, the ferrichrome or deferrioxamine promoted growth for both serovars, conﬁrming the speciﬁc role of the FhuACDB system in the uptake and transport of hydroxamate Fe3þ. Survival of the mutants was also evaluated in a meat assay, and no difference in survival was observed among the mutants compared with wild type. This study showed differences between serovars in the importance of catecholate-iron and hydroxamate-iron uptake on Salmonella growth in iron-restricted media. Data also conﬁrmed that both Salmonella Enteritidis and Typhimurium are well equipped to survive on cooked chicken meat, offering a rich iron condition.","2019-04-01","2020-04-23 14:23:16","2020-04-23 14:23:17","2020-04-23 14:23:16","548-560","","4","82","","","Growth of Salmonella enterica Serovars Typhimurium and Enteritidis in Iron-Poor Media and in Meat","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Chekabab et al. - 2019 - Growth of Salmonella enterica Serovars Typhimurium.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJ6VWJ7S","journalArticle","2019","Collineau, Lucie; Boerlin, Patrick; Carson, Carolee A.; Chapman, Brennan; Fazil, Aamir; Hetman, Benjamin; McEwen, Scott A.; Parmley, E. Jane; Reid-Smith, Richard J.; Taboada, Eduardo N.; Smith, Ben A.","Integrating Whole-Genome Sequencing Data Into Quantitative Risk Assessment of Foodborne Antimicrobial Resistance: A Review of Opportunities and Challenges","Frontiers in Microbiology","","1664-302X","10.3389/fmicb.2019.01107","https://www.frontiersin.org/article/10.3389/fmicb.2019.01107/full","","2019-05-21","2020-04-23 14:23:18","2020-04-23 14:23:18","2020-04-23 14:23:18","1107","","","10","","Front. Microbiol.","Integrating Whole-Genome Sequencing Data Into Quantitative Risk Assessment of Foodborne Antimicrobial Resistance","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Collineau et al. - 2019 - Integrating Whole-Genome Sequencing Data Into Quantitative Risk Assessment of Foodborne Antimicrobial Resistan.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WHW9NGQI","journalArticle","2019","Islam, Md Rashedul; Lepp, Dion; Godfrey, David V; Orban, Steve; Ross, Kelly; Delaquis, Pascal; Diarra, Moussa S","Effects of wild blueberry (Vaccinium angustifolium) pomace feeding on gut microbiota and blood metabolites in free-range pastured broiler chickens","Poultry Science","","00325791","10.3382/ps/pez062","https://linkinghub.elsevier.com/retrieve/pii/S0032579119306686","ABSTRACT There is a need to develop costeffective approaches to modulate gut microbiota, promote bird health, and prevent infections in pastureraised broiler chickens. The present study evaluated the efficacy of organic wild blueberry (Vaccinium angustifolium) also called low-bush blueberry pomace (LBBP)supplemented feed to modulate the chicken gut microbiota, and blood metabolites in order to improve bird health and productivity. Slow-growing broiler chickens were reared on pasture up to 64 D for sampling after 2 wk of treatment during brooding with 0, 1, and 2% LBBP in feed. Intestinal samples were collected at different time-points throughout the trial for bacterial culture and microbial community analysis by 16S rRNA gene sequencing using Illumina MiSeq. Blood sera were also analyzed for metabolites at each sampling time. Of the 14 bacterial phyla, the predominant taxa across all sampling time-points were Firmicutes, Proteobacteria, Bacteroidetes, and Tenericutes, representing >97% of all sequences. Bacteroidetes seemed to be replacing Firmicutes by LBBP supplementation, with the most noticeable effect at day 64 with 1% LBBP. LBBP inclusion enriched Lactobacillus, Bacteroides, and Bifidobacterium, while Escherichia coli, Clostridium Clostridiaceae, Helicobacter, and Enterococcus showed higher abundances in control birds at the end of trial. Principal co-ordinate analysis showed a clear clustering of the intestinal samples from control and LBBP-treated groups at day 29. Application of LBBP resulted in a decrease (P < 0.05) in cholesterol at day 21, and an increase (P < 0.05) in high-density lipoprotein cholesterol in 14-day-old broilers. Higher (P < 0.05) levels of phosphorus, magnesium, and globulin at day 21 as well as iron and albumin at day 36 were also observed in 1% LBBP-fed birds. Despite limitations consisting essentially of low sampled birds for measurements, this study indicated that dietary supplementation of LBBP could positively influence gut microbiota and blood metabolites that may contribute to the overall health of pasture-raised broiler chickens.","2019-09","2020-04-23 14:23:20","2020-04-23 14:23:20","2020-04-23 14:23:20","3739-3755","","9","98","","Poultry Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Islam et al. - 2019 - Effects of wild blueberry ( Vaccinium angustifolium ) pomace feeding on gut microbiota and blood metabolites in fr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TK88366M","journalArticle","2019","Klima, Cassidy L.; Holman, Devin B.; Ralston, Brenda J.; Stanford, Kim; Zaheer, Rahat; Alexander, Trevor W.; McAllister, Tim A.","Lower Respiratory Tract Microbiome and Resistome of Bovine Respiratory Disease Mortalities","Microbial Ecology","","0095-3628, 1432-184X","10.1007/s00248-019-01361-3","http://link.springer.com/10.1007/s00248-019-01361-3","Bovine respiratory disease (BRD) continues to be a serious health problem in beef cattle production. A multifactorial condition, BRD encompasses several types of pneumonia that are associated with multiple viral and bacterial agents. Comprehensive identification of microbes associated with BRD fatalities could enhance our understanding of the range of pathogens that contribute to the disease and identify new therapeutic targets. This study used metagenomic analysis to describe the lower respiratory tract microbiome and resistome of 15 feedlot cattle BRD and 3 non-BRD mortalities along with any affiliated integrative and conjugative elements (ICEs). Known bacterial pathogens associated with BRD, including Histophilus somni, Mannheimia haemolytica, and Mycoplasma bovis, were relatively abundant (> 5%) in most, but not all samples. Other relatively abundant genera (> 1%) included Acinetobacter, Bacillus, Bacteroides, Clostridium, Enterococcus, and Pseudomonas. Antimicrobial resistance genes (ARGs) comprised up to 0.5% of sequences and many of these genes were associated with ICEs previously described within the Pasteurellaceae family. A total of 20 putative ICEs were detected among 16 samples. These results document the wide diversity of microorganisms in the lower respiratory tract of cattle that have succumbed to BRD. The data also strongly suggest that antimicrobial-resistant Pasteurellaceae strains are prevalent in BRD cases in Alberta and that the resistance observed is associated with ICEs. The presence of ICEs harboring a wide array of ARGs holds significant consequence for the effectiveness of drug therapies for the control of BRD in beef cattle.","2019-08","2020-04-23 14:23:21","2020-04-23 14:23:21","2020-04-23 14:23:21","446-456","","2","78","","Microb Ecol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Klima et al. - 2019 - Lower Respiratory Tract Microbiome and Resistome of Bovine Respiratory Disease Mortalities.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R8RQF59X","journalArticle","2018","Le, Kevin K; Whiteside, Matthew D; Hopkins, James E; Gannon, Victor P J; Laing, Chad R","Spfy: an integrated graph database for real-time prediction of bacterial phenotypes and downstream comparative analyses","Database","","1758-0463","10.1093/database/bay086","https://academic.oup.com/database/article/doi/10.1093/database/bay086/5096058","","2018-01-01","2020-04-23 14:23:22","2020-04-23 14:23:22","2020-04-23 14:23:22","","","","2018","","","Spfy","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Le et al. - 2018 - Spfy An integrated graph database for real-time prediction of bacterial phenotypes and downstream comparative analyse.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SG27CXNC","journalArticle","2018","McAllister, Tim A; Wang, Yuxi; Diarra, Moussa S; Alexander, Trevor; Stanford, Kim","Challenges of a one-health approach to the development of alternatives to antibiotics","Animal Frontiers","","2160-6056, 2160-6064","10.1093/af/vfy002","https://academic.oup.com/af/article/8/2/10/4979990","","2018-06-07","2020-04-23 14:23:24","2020-04-23 14:23:24","2020-04-23 14:23:24","10-20","","2","8","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Mcallister et al. - 2018 - Challenges of a one-health approach to the development of alternatives to antibiotics.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LBRJYRRQ","journalArticle","2018","Murphy, Colleen P.; Carson, Carolee; Smith, Ben A.; Chapman, Brennan; Marrotte, Jayme; McCann, Maggie; Primeau, Courtney; Sharma, Parth; Parmley, E. Jane","Factors potentially linked with the occurrence of antimicrobial resistance in selected bacteria from cattle, chickens and pigs: A scoping review of publications for use in modelling of antimicrobial resistance (IAM.AMR Project)","Zoonoses and Public Health","","18631959","10.1111/zph.12515","http://doi.wiley.com/10.1111/zph.12515","Antimicrobial resistance is a complex issue with a large volume of published literature, and there is a need for synthesis of primary studies for an integrated understanding of this topic. Our research team aimed to have a more complete understanding of antimicrobial resistance in Canada (IAM.AMR Project) using multiple methods including the literature reviews and quantitative modelling. To accomplish this goal, qualitative features of publications (e.g., geographical location, study population) describing potential relationships between the occurrence of antimicrobial resistance and factors (e.g., antimicrobial use; management system) were of particular interest. The objectives of this review were to (a) describe the available peer‐reviewed literature reporting potential relationships between factors and antimicrobial resistance; and (b) to highlight data gaps. A comprehensive literature search and screening were performed to identify studies investigating factors potentially linked with antimicrobial resistance in Campylobacter species, Escherichia coli and Salmonella enterica along the farm‐to‐fork pathway (farm, abattoir (slaughter houses) and retail meats) for the major Canadian livestock species (beef cattle, broiler chicken and pigs). The literature search returned 14,966 potentially relevant titles and abstracts. Following screening of titles, abstracts and full‐text articles, the qualitative features of retained studies (n = 28) were extracted. The most common factors identified were antimicrobial use (n = 13 studies) and type of farm management system (e.g., antibiotic‐free, organic; n = 8). Most studies were conducted outside of Canada and involved investigations at the farm level. Identified data gaps included the effect of vaccination, industry‐specific factors (e.g., livestock density) and factors at sites other than farm along the agri‐food chain. Further investigation of these factors and other relevant industry activities are needed for the development of quantitative models that aim to identify effective interventions to mitigate the occurrence of antimicrobial resistance along the agri‐food chain.","2018-12","2020-04-23 14:23:25","2020-04-23 14:23:25","2020-04-23 14:23:25","957-971","","8","65","","Zoonoses Public Health","Factors potentially linked with the occurrence of antimicrobial resistance in selected bacteria from cattle, chickens and pigs","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Murphy et al. - 2018 - Factors potentially linked with the occurrence of antimicrobial resistance in selected bacteria from cattle, chic.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8KY2IP46","journalArticle","2019","Murray, Roger; Tien, Yuan-Ching; Scott, Andrew; Topp, Edward","The impact of municipal sewage sludge stabilization processes on the abundance, field persistence, and transmission of antibiotic resistant bacteria and antibiotic resistance genes to vegetables at harvest","Science of The Total Environment","","00489697","10.1016/j.scitotenv.2018.10.030","https://linkinghub.elsevier.com/retrieve/pii/S0048969718338968","Biosolids were obtained from four Ontario municipalities that vary in how the sewage sludge is treated. These included a Class B biosolids that was anaerobically digested, a Class A biosolids that were heat treated and pelletized (Propell), and two Class A biosolids that were stabilized using either the N-Viro (N-Rich) or Lystek (LysteGro) processes. Viable enteric indicator or pathogenic bacteria in the biosolids were enumerated by plate count, gene targets associated with antibiotic resistance or horizontal gene transfer were detected by PCR, and a subset of these gene targets were quantiﬁed by qPCR. Following application at commercial rates to ﬁeld plots, the persistence of enteric bacteria and gene targets in soil was followed during the growing season. Carrots, radishes and lettuce were sown into the amended and unamended control plots, and the diversity and abundance of gene targets they carried at harvest determined. All three Class A biosolids carried fewer and less abundant antibiotic resistance genes than did the Class B biosolids, in particular the very alkaline N-Viro product (NRich). Following application, some gene targets (e.g. int1, sul1, strA/B, aadA) that are typically associated with mobile gene cassettes remained detectable throughout the growing season, whereas others (e.g. ermB, ermF, blaOXA20) that are not associated with cassettes became undetectable within three weeks or less. At harvest a larger number of gene targets were detected on the carrots and radishes than in the lettuce. Overall, land application of Class A biosolids will entrain fewer viable bacteria and genes associated with antibiotic resistance into crop ground than will amendment with Class B biosolids.","2019-02","2020-04-23 14:23:27","2020-04-23 14:23:27","2020-04-23 14:23:27","1680-1687","","","651","","Science of The Total Environment","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Murray et al. - 2019 - The impact of municipal sewage sludge stabilization processes on the abundance, field persistence, and transmissi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
